名前,性別,生年月日,国語,数学,英語
丹羽 正次,男,1986/06/24,70,92,59
田上 良司,男,1982/06/20,73,27,29
山下 菊子,女,1990/12/05,95,44,91
武田 三男,男,1983/08/17,100,34,55
原田 登喜雄,男,1994/09/10,98,76,84
新谷 信広,男,1993/08/17,38,18,87
岩崎 真理,女,1970/08/01,56,91,62
渡辺 美貴,女,1986/08/02,55,89,71
大内 直志,男,1988/10/24,42,89,97
田口 正宣,男,1980/06/01,82,68,33
小倉 恵八郎,男,1981/03/18,45,100,90
関 秀志,男,1976/03/27,23,94,58
森山 洋子,女,1987/05/30,57,18,36
平田 希美,女,1988/12/10,62,60,81
西本 友幸,男,1984/07/22,45,43,81
角田 たか子,女,1993/11/19,73,95,23
宮内 信好,男,1987/01/08,69,93,49
増田 孝彦,男,1970/05/22,99,36,54
佐藤 清名,女,1983/03/17,45,37,24
福田 里江子,女,1988/04/07,45,32,55
内海 孝次,男,1994/10/06,38,95,21
小林 忠博,男,1982/01/25,13,29,79
飯塚 明博,男,1970/04/30,76,67,58
工藤 伸江,女,1992/08/22,81,87,62
島崎 護,男,1994/11/03,13,60,65
木下 希和,女,1992/10/18,50,10,66
岩田 宜昭,男,1976/02/07,91,61,63
永野 広明,男,1989/12/24,41,61,11
鈴木 信人,男,1978/06/14,24,53,88
杉田 礼,女,1993/06/10,33,93,87
中嶋 雅美,女,1971/04/06,50,96,81
入江 秀司,男,1993/01/05,26,30,34
片山 芳尚,男,1976/12/06,17,78,18
大塚 悠子,女,1975/09/21,19,42,47
長岡 松次郎,男,1989/09/03,31,86,31
大久保 俊郎,男,1994/01/15,99,96,86
三輪 則重,男,1970/12/18,73,52,83
藤沢 友,女,1973/12/13,88,90,100
坂井 百里子,女,1974/08/31,64,78,48
岸 従典,男,1972/05/27,83,86,18
金井 宗市,男,1972/10/07,43,30,29
堤 歩,女,1983/11/12,94,47,20
矢野 清重,男,1984/10/16,49,82,51
岡崎 健也,男,1973/05/22,75,58,10
竹中 繁樹,男,1974/08/01,86,97,35
宮本 正次,男,1981/12/29,54,99,16
山下 正宣,男,1987/06/04,30,92,44
出口 梨絵,女,1972/01/09,95,99,58
宮城 荘介,男,1992/06/28,62,23,79
大川 久哉,男,1970/10/25,17,50,57
大沢 晴生,男,1993/05/19,47,22,77
菅野 恒之,男,1989/02/03,42,23,100
武田 伝三郎,男,1986/05/09,81,51,53
吉野 理香,女,1972/04/23,13,31,33
嶋田 美哉,男,1979/08/24,53,87,28
大塚 隆哉,男,1972/11/12,43,13,95
今村 久紀,男,1992/01/09,27,68,48
土田 優香,女,1973/08/02,99,20,88
林 菊江,女,1987/09/13,23,35,28
本間 義幸,男,1993/04/23,44,67,11
永井 理江,女,1975/05/24,30,18,48
黒沢 梨華,女,1988/08/05,96,94,74
三好 孝成,男,1983/03/17,80,16,87
吉原 梨枝子,女,1989/06/23,88,10,65
関 平作,男,1986/07/18,49,17,16
吉村 菊子,女,1985/01/01,64,22,76
西沢 征輝,男,1984/06/10,61,41,66
神谷 真理,女,1991/05/03,38,90,15
浜田 多恵子,女,1991/08/28,49,51,61
鶴田 良弥,男,1988/03/11,27,42,80
森本 友子,女,1993/04/20,61,33,41
西山 敬志,男,1972/03/17,12,38,17
臼井 寿彦,男,1973/01/29,53,56,99
浅田 裕香,女,1970/10/26,63,84,23
永田 季雄,男,1970/05/17,33,70,29
篠崎 勝行,男,1973/09/20,47,95,56
竹田 運吉,男,1993/08/29,61,22,20
遠藤 敏美,女,1993/08/17,65,22,66
北野 久作,男,1990/03/18,60,67,63
筒井 由水,女,1973/01/10,85,35,44
田村 兼一,男,1970/03/28,49,16,13
金田 権一,男,1982/03/22,18,42,27
小池 泰秀,男,1991/01/24,91,30,35
菅 悠子,女,1976/10/15,62,82,36
伊藤 克三,男,1994/04/04,86,30,100
今村 れいや,男,1979/03/20,27,70,13
土井 彰揮,男,1988/05/02,43,70,94
内山 玲,女,1973/07/09,84,98,47
杉本 和広,男,1971/10/15,91,55,27
松島 梨枝子,女,1984/05/22,68,92,87
荒木 元信,男,1971/05/05,86,45,10
川野 亮子,女,1992/10/21,84,91,29
松山 越子,女,1986/03/12,71,66,28
西山 美緒,女,1970/04/07,15,91,65
岩崎 嘉郎,男,1973/03/18,44,34,91
小原 貫之,男,1972/07/11,96,24,65
新谷 尚平,男,1983/06/14,96,98,27
富永 裕紀,男,1986/07/28,26,13,25
片岡 なつみ,女,1993/07/26,77,33,46
大島 竹一,男,1992/12/09,86,36,75
上田 愛佳,女,1981/09/02,48,79,45
三木 兼一,男,1985/10/04,49,74,93
小沢 さやか,女,1979/04/04,56,85,25
松田 輝政,男,1992/07/27,66,43,14
武藤 征輝,男,1988/08/02,13,67,98
畑中 秀志,男,1987/04/22,59,78,40
筒井 保行,男,1982/11/05,60,84,75
三好 直秋,男,1991/02/11,52,69,84
谷川 智治,男,1994/12/07,11,81,55
関 幸郎,男,1976/06/26,95,84,53
豊田 忠秋,男,1973/11/28,53,17,73
森 美貴,女,1973/03/03,82,30,32
土田 早葉子,女,1973/07/25,66,24,92
渋谷 麻里子,女,1986/05/08,19,58,80
大久保 征輝,男,1988/02/22,92,40,34
太田 明日香,女,1984/03/10,35,46,62
金城 千代枝,女,1990/09/24,82,48,95
宮本 みき,女,1985/12/21,37,90,80
宇野 敬吉,男,1990/12/29,11,20,37
島田 由雄,男,1978/05/09,78,66,93
大山 由記彦,男,1991/05/26,34,33,32
福本 香世子,女,1986/07/14,48,67,16
島田 恭造,男,1970/05/24,74,59,95
内海 友子,女,1991/06/09,71,16,13
長岡 純典,男,1980/11/05,50,25,94
大森 奈緒美,女,1977/01/15,26,96,85
大沢 政治,男,1981/10/26,63,86,83
浜崎 勝英,男,1970/12/16,27,38,85
佐野 研五,男,1979/06/24,39,18,58
鎌田 れいな,女,1991/10/12,79,91,55
村上 真紀,女,1987/03/04,49,66,41
小森 陽子,女,1984/09/18,16,32,47
竹村 竹義,男,1993/11/24,53,46,32
西 雅宏,男,1973/05/06,94,99,47
落合 嘉郎,男,1991/09/11,80,81,26
田村 厚成,男,1983/02/11,15,36,55
永井 定二,男,1987/12/24,80,45,39
小林 文吾,男,1974/02/22,17,37,64
宮沢 秋徳,男,1994/12/04,46,48,35
武田 忠秋,男,1980/01/07,27,46,38
米田 夕子,女,1981/05/19,58,62,47
古川 市雄,男,1993/12/27,64,77,34
武井 純隆,男,1990/08/10,50,52,25
角田 長生,男,1980/03/23,92,79,26
川端 拓夫,男,1992/06/15,57,76,15
杉山 時司,男,1978/08/23,72,12,59
坂井 数也,男,1986/04/14,49,13,46
杉山 祥三,男,1982/07/23,52,61,79
小野 恵八郎,男,1982/01/16,35,63,68
石黒 清一,男,1985/03/15,47,28,82
松永 登喜雄,男,1987/06/03,42,11,16
松尾 一馬,男,1981/05/21,51,52,24
茂木 祐子,女,1986/04/20,82,63,90
