名前,性別,生年月日,国語,数学,英語
野村 房男,男,1985/06/24,91,24,90
森 貞郎,男,1982/02/07,65,97,47
茂木 定行,男,1982/08/06,99,20,34
高木 とみ子,女,1970/11/29,54,79,88
上原 優香,女,1992/07/24,49,95,37
宮内 謹二,男,1985/10/29,72,32,31
西原 成夫,男,1989/10/20,44,66,80
小泉 栄理子,女,1976/05/31,100,50,78
西山 美則,男,1977/02/13,20,81,94
橋本 結衣,女,1988/04/20,44,58,99
古谷 仁三郎,男,1993/08/27,90,16,76
松田 真琴,女,1989/01/10,34,25,74
西野 絵美,女,1970/05/27,78,21,68
日高 直志,男,1971/04/17,48,19,93
田上 英則,男,1987/01/20,61,26,59
高松 礼,女,1975/11/13,66,71,81
川島 章緒,女,1985/07/03,96,46,93
松井 記代,女,1987/01/09,90,97,64
石原 保行,男,1978/06/09,54,19,51
上村 邦江,女,1986/06/28,80,19,98
金田 多美子,女,1979/08/12,69,58,68
平松 祐子,女,1985/06/15,11,30,17
白井 理沙,女,1979/08/01,30,28,95
片岡 荘介,男,1970/04/16,25,95,100
中井 恵八郎,男,1986/10/16,58,66,85
日野 松代,女,1991/01/09,90,68,31
中島 雄一郎,男,1985/01/14,61,18,49
工藤 知美,女,1988/03/01,44,11,22
池上 智,女,1978/06/16,66,83,21
柏木 孝秀,男,1976/07/01,79,15,82
竹本 雅臣,男,1993/05/30,84,95,11
溝口 覚,男,1978/03/15,10,40,98
川島 知明,男,1970/09/06,42,59,62
山下 隆吉,男,1981/03/11,62,56,90
須田 雅宏,男,1973/07/12,85,98,12
徳田 周平,男,1988/09/17,89,27,46
川上 照和,男,1986/04/22,80,93,64
小柳 源平,男,1975/11/24,66,57,69
足立 千津,女,1971/04/01,89,31,25
笠原 智美,女,1972/12/29,28,24,85
杉本 永基,男,1993/01/31,62,66,98
松原 輝政,男,1975/01/12,16,67,71
三谷 奈緒実,女,1987/10/16,42,69,21
宮内 義郎,男,1987/09/17,79,80,19
大橋 貢太郎,男,1992/02/06,67,30,76
内山 愛次郎,男,1977/08/25,21,45,95
大竹 敬吉,男,1972/06/03,28,75,11
杉本 道貴,男,1971/09/26,31,63,53
池上 道義,男,1994/10/24,81,28,63
高田 理恵,女,1989/06/23,60,50,55
畠山 唯,女,1977/06/27,51,17,40
松岡 茂俊,男,1989/03/09,82,76,60
菅野 英幸,男,1977/06/02,43,50,20
中原 浩史,男,1975/02/15,30,48,92
栗原 秋美,女,1977/11/18,99,34,45
篠田 伸江,女,1972/03/12,24,93,61
黒木 昌光,男,1973/02/04,19,20,63
沼田 佐千雄,男,1976/12/22,16,85,99
大西 田鶴子,女,1975/12/05,12,28,77
藤田 咲子,女,1978/07/18,22,92,36
荒井 英吾,男,1972/10/29,22,57,39
桑原 威佐夫,男,1977/05/05,26,80,85
太田 恒宏,男,1975/11/15,89,83,42
新井 祥三,男,1989/07/11,47,84,16
松井 菊江,女,1973/11/07,85,30,20
安藤 則重,男,1991/02/05,68,88,40
植田 尚平,男,1976/09/11,18,25,71
三好 顕子,女,1986/08/06,57,28,82
石崎 茂也,男,1987/09/23,77,50,95
岸 征輝,男,1976/05/16,58,26,86
小森 幾江,女,1972/01/03,70,76,71
柳沢 多美子,女,1981/08/22,24,51,68
遠藤 友隆,男,1980/10/31,44,57,48
杉田 境二,男,1972/09/25,69,70,66
沼田 公生,男,1991/08/09,24,11,78
平井 心一,男,1981/09/16,98,70,50
平岡 幸人,男,1990/06/28,38,99,50
福岡 多佳司,男,1994/06/12,41,11,43
長谷川 兼典,男,1981/11/29,44,66,35
杉浦 文之,男,1983/10/22,43,77,89
竹内 靖浩,男,1980/01/10,88,73,19
石原 良秋,男,1971/08/02,89,43,30
杉浦 歩,女,1976/02/29,90,11,75
内田 恵,女,1978/01/25,51,84,17
筒井 美智,女,1981/07/22,15,31,23
上田 恵治,男,1993/01/23,55,80,87
本田 直紀,男,1980/02/07,83,73,36
日高 奈緒,女,1982/06/27,24,77,55
富永 成子,女,1976/03/02,85,29,39
宮城 通,男,1976/11/28,21,14,93
矢野 知明,男,1976/09/20,45,37,13
小山 勝英,男,1972/09/02,41,44,55
青柳 今朝雄,男,1992/04/06,69,23,51
川野 繁樹,男,1978/05/13,69,54,45
福岡 義幸,男,1986/07/30,74,74,32
菅 光善,男,1987/04/29,76,34,42
大野 勇太郎,男,1985/12/22,39,40,66
小倉 礼子,女,1971/04/07,65,49,28
藤原 豊司,男,1977/07/18,40,73,44
吉野 孝市,男,1971/08/05,35,97,59
近藤 美波留,女,1984/11/29,11,19,47
角田 早葉子,女,1980/03/01,15,86,83
宇野 紀世実,女,1981/01/06,50,88,52
田畑 美喜夫,男,1984/06/23,13,12,100
高井 琢司,男,1990/03/05,32,50,13
杉浦 冬樹,男,1990/06/08,38,85,92
中本 豊次,男,1977/10/27,95,63,41
大田 れいや,男,1994/06/17,28,81,96
荒木 俊郎,男,1970/04/06,46,59,10
山田 聖誉,男,1981/02/19,64,76,40
大内 康三,男,1994/05/20,89,82,96
塚田 麗奈,女,1975/05/02,62,57,62
浜崎 裕紀,男,1991/09/27,100,84,21
山中 真理,女,1978/07/13,63,64,90
千田 三男,男,1975/11/07,36,18,64
川島 章子,女,1978/12/30,55,82,29
伊東 一生,男,1992/11/03,53,76,74
臼井 昌光,男,1982/12/12,84,97,79
吉川 勝夫,男,1992/06/19,32,42,21
安達 智,女,1979/11/22,32,95,33
大野 千勢子,女,1986/11/04,87,10,18
植田 道義,男,1991/03/19,47,60,10
沼田 留美子,女,1982/08/16,60,56,89
黒川 織枝,女,1982/12/28,40,53,30
村瀬 和帰子,女,1985/04/16,91,14,72
栗原 茂也,男,1979/08/11,10,28,49
岩崎 洵子,女,1971/12/01,91,81,28
大塚 伸江,女,1977/01/20,96,11,49
高松 佐十郎,男,1973/12/29,25,62,62
堀川 杏子,女,1992/07/29,73,10,16
松島 美博,男,1974/06/25,98,80,89
塚田 美博,男,1994/02/15,59,87,25
小森 禎二,男,1971/10/22,95,12,69
吉岡 譲介,男,1970/12/17,87,55,61
二宮 佳紀,男,1978/01/15,57,55,72
望月 亮子,女,1993/02/16,76,18,20
大田 敏江,女,1970/01/07,19,59,81
米田 とく子,女,1987/12/06,88,63,73
小柳 信好,男,1975/05/09,75,97,98
倉田 知恵,女,1992/11/20,60,22,41
黒川 梨華,女,1985/08/10,38,79,40
田畑 洋子,女,1994/01/20,28,48,96
西山 正保,男,1982/02/24,85,30,100
小山 ひとみ,女,1981/05/27,63,44,62
小山 厚史,男,1990/04/14,41,60,84
佐藤 郁美,女,1975/06/19,47,92,83
田島 華代,女,1993/10/09,29,95,78
長岡 優子,女,1984/05/01,27,95,38
伊藤 尚平,男,1971/09/22,88,24,46
今野 孝敏,男,1986/11/05,50,40,14
黒田 時代,女,1978/11/04,41,40,30
比嘉 慶介,男,1990/10/04,20,54,13
大塚 喜久郎,男,1992/06/22,16,37,56
宮崎 裕仁,男,1992/04/27,64,46,22
田島 裕恵,女,1994/05/28,74,90,44
堤 聡美,女,1978/10/03,69,37,23
川本 ハルノ,女,1980/04/21,95,92,70
土田 譲介,男,1991/10/20,21,32,62
白井 征輝,男,1972/08/01,25,32,32
平岡 公生,男,1982/06/09,81,59,50
大川 浩史,男,1978/09/14,11,50,34
松井 禎二,男,1970/04/10,23,16,58
